日付,曜日,朝学習(分),朝学習内容,夜学習(分),夜学習内容,移動中リスニング(分),単語学習回数,今日の新出単語(覚えた数),今日話せた英文,今日聞き取れなかった表現,所感・気づき,先生への質問
2026/5/18,月,60,,120,,,,,,,,
2026/5/19,火,60,,120,,,,,,,,
2026/5/20,水,60,,120,,,,,,,,
2026/5/21,木,60,,120,,,,,,,,
2026/5/22,金,60,,120,,,,,,,,
2026/5/23,土,60,,180,,,,,,,,
2026/5/24,日,60,,180,,,,,,,,
2026/5/25,月,60,,120,,,,,,,,
2026/5/26,火,60,,120,,,,,,,,
2026/5/27,水,60,,120,,,,,,,,
2026/5/28,木,60,,120,,,,,,,,
2026/5/29,金,60,,120,,,,,,,,
2026/5/30,土,60,,180,,,,,,,,
2026/5/31,日,60,,180,,,,,,,,
2026/6/1,月,60,,120,,,,,,,,
2026/6/2,火,60,,120,,,,,,,,
2026/6/3,水,60,,120,,,,,,,,
2026/6/4,木,60,,120,,,,,,,,
2026/6/5,金,60,,120,,,,,,,,
2026/6/6,土,60,,180,,,,,,,,
2026/6/7,日,60,,180,,,,,,,,
2026/6/8,月,60,,120,,,,,,,,
2026/6/9,火,60,,120,,,,,,,,
2026/6/10,水,60,,120,,,,,,,,
2026/6/11,木,60,,120,,,,,,,,
2026/6/12,金,60,,120,,,,,,,,
2026/6/13,土,60,,180,,,,,,,,
2026/6/14,日,60,,180,,,,,,,,
2026/6/15,月,60,,120,,,,,,,,
2026/6/16,火,60,,120,,,,,,,,
2026/6/17,水,60,,120,,,,,,,,
2026/6/18,木,60,,120,,,,,,,,
2026/6/19,金,60,,120,,,,,,,,
2026/6/20,土,60,,180,,,,,,,,
2026/6/21,日,60,,180,,,,,,,,
2026/6/22,月,60,,120,,,,,,,,
2026/6/23,火,60,,120,,,,,,,,
2026/6/24,水,60,,120,,,,,,,,
2026/6/25,木,60,,120,,,,,,,,
2026/6/26,金,60,,120,,,,,,,,
2026/6/27,土,60,,180,,,,,,,,
2026/6/28,日,60,,180,,,,,,,,
2026/6/29,月,60,,120,,,,,,,,
2026/6/30,火,60,,120,,,,,,,,
