カテゴリ,スキル項目,達成基準,自己評価(1-5),先生評価(1-5),チェック日,コメント
話す(Speaking),自己紹介を2分間途切れず話せる,つなぎ言葉含め2分継続,,,,
話す(Speaking),自分の1日のルーティンを過去/現在/未来形を使い分けて説明できる,3つの時制を正しく使う,,,,
話す(Speaking),レストランで好みを伝えながら注文ができる,アレルギー・カスタム要望を含む,,,,
話す(Speaking),道に迷った時に複数の表現で助けを求められる,3パターン以上の言い回し,,,,
話す(Speaking),買い物で価格・サイズ・色を交渉できる,返品/交換の交渉まで,,,,
話す(Speaking),症状を医師に具体的に伝えられる,部位・痛みの種類・期間を含む,,,,
話す(Speaking),自分の意見をI think〜以外で表現できる,In my opinion / It seems等3表現,,,,
話す(Speaking),電話で予約・キャンセル・変更ができる,日時/人数/名前確認まで,,,,
聞く(Listening),ネイティブの普通の速さの自己紹介を理解できる,大意把握80%,,,,
聞く(Listening),カフェ/レストラン店員の早口の質問が聞き取れる,3回まで聞き直しなしで対応,,,,
聞く(Listening),地下鉄・空港のアナウンスが聞き取れる,駅名/番線/遅延情報,,,,
聞く(Listening),数字(価格・電話番号・時間)を一度で聞き取れる,4桁まで正確に,,,,
聞く(Listening),ネイティブ同士の雑談から話題を特定できる,2分音声でトピック判定,,,,
聞く(Listening),Yes/Noで答えられない疑問詞の質問を聞き取れる,Wh疑問詞5種類,,,,
聞く(Listening),依頼・お願いの表現を区別して聞き取れる,Could you/Would you/Do you mind等,,,,
聞く(Listening),映画/ドラマの日常会話シーンの大意を掴める,1シーン5分で大意70%,,,,
語彙(Vocabulary),準2級レベル単語1500語のうち1000語を運用できる,週次テスト累計で90%,,,,
語彙(Vocabulary),NYで頻出のスラング/カジュアル表現30個を使える,会話で自然使用,,,,
文法(Grammar),現在完了形を会話で使い分けられる,継続/経験/完了/結果,,,,
文法(Grammar),関係代名詞(who/which/that)を会話で使える,複文を1分で3回以上,,,,
文法(Grammar),仮定法(If I were〜)を会話で使える,空想・後悔の表現,,,,
発音(Pronunciation),thの音(有声/無声)を区別できる,先生のチェックでOK,,,,
発音(Pronunciation),L/Rの区別が会話レベルで通じる,ネイティブに通じる,,,,
発音(Pronunciation),文のイントネーション(疑問/平叙)が自然,先生のチェックでOK,,,,
